Headings,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Player,SR Tendulkar (INDIA),KC Sangakkara (Asia/ICC/SL),RT Ponting (AUS/ICC),ST Jayasuriya (Asia/SL),DPMD Jayawardene (Asia/SL),V Kohli (INDIA),Inzamam-ul-Haq (Asia/PAK),JH Kallis (Afr/ICC/SA),SC Ganguly (Asia/INDIA),R Dravid (Asia/ICC/INDIA),MS Dhoni (Asia/INDIA),CH Gayle (ICC/WI),BC Lara (ICC/WI),TM Dilshan (SL),Mohammad Yousuf (Asia/PAK),AC Gilchrist (AUS/ICC),AB de Villiers (Afr/SA),M Azharuddin (INDIA),PA de Silva (SL),RG Sharma (INDIA),Saeed Anwar (PAK),S Chanderpaul (WI),Yuvraj Singh (Asia/INDIA),DL Haynes (WI),LRPL Taylor (NZ),MS Atapattu (SL),ME Waugh (AUS),V Sehwag (Asia/ICC/INDIA),HM Amla (SA),HH Gibbs (SA),Shahid Afridi (Asia/ICC/PAK),SP Fleming (ICC/NZ),MJ Clarke (AUS),Tamim Iqbal (BAN),EJG Morgan (ENG/IRE),SR Waugh (AUS),Shoaib Malik (PAK),A Ranatunga (SL),Javed Miandad (PAK),Younis Khan (PAK),Saleem Malik (PAK),NJ Astle (NZ),MJ Guptill (NZ),GC Smith (Afr/SA),WU Tharanga (Asia/SL),MG Bevan (AUS),G Kirsten (SA),A Flower (ZIM),Shakib Al Hasan (BAN),IVA Richards (WI),Mushfiqur Rahim (BAN),BRM Taylor (ZIM),Mohammad Hafeez (PAK),GW Flower (ZIM),Ijaz Ahmed (PAK),AR Border (AUS),S Dhawan (INDIA),RB Richardson (WI),KS Williamson (NZ),ML Hayden (AUS/ICC),JE Root (ENG),BB McCullum (NZ),DM Jones (AUS),DC Boon (AUS),JN Rhodes (SA),Ramiz Raja (PAK),AD Mathews (SL),RR Sarwan (WI),CL Hooper (WI),SR Watson (AUS),Q de Kock (SA),H Masakadza (ZIM),SK Raina (INDIA),MN Samuels (WI),WJ Cronje (SA),F du Plessis (SA),DA Warner (AUS),MEK Hussey (AUS),IR Bell (ENG),A Jadeja (INDIA),DR Martyn (AUS),AJ Finch (AUS),G Gambhir (INDIA),ADR Campbell (ZIM),RS Mahanama (SL),CG Greenidge (WI),Misbah-ul-Haq (PAK),JP Duminy (SA),PD Collingwood (ENG),A Symonds (AUS),Abdul Razzaq (Asia/PAK),PR Stirling (IRE)
Span,1989-2012,2000-2015,1995-2012,1989-2011,1998-2015,2008-2022,1991-2007,1996-2014,1992-2007,1996-2011,2004-2019,1999-2019,1990-2007,1999-2016,1998-2010,1996-2008,2005-2018,1985-2000,1984-2003,2007-2022,1989-2003,1994-2011,2000-2017,1978-1994,2006-2022,1990-2007,1988-2002,1999-2013,2008-2019,1996-2010,1996-2015,1994-2007,2003-2015,2007-2022,2006-2021,1986-2002,1999-2019,1982-1999,1975-1996,2000-2015,1982-1999,1995-2007,2009-2022,2002-2013,2005-2019,1994-2004,1993-2003,1992-2003,2006-2022,1975-1991,2006-2022,2004-2021,2003-2019,1992-2010,1986-2000,1979-1994,2010-2022,1983-1996,2010-2020,1993-2008,2013-2021,2002-2016,1984-1994,1984-1995,1992-2003,1985-1997,2008-2021,2000-2013,1987-2003,2002-2015,2013-2022,2001-2019,2005-2018,2000-2018,1992-2000,2011-2019,2009-2022,2004-2012,2004-2015,1992-2000,1992-2006,2013-2022,2003-2013,1992-2003,1986-1999,1975-1991,2002-2015,2004-2019,2001-2011,1998-2009,1996-2011,2008-2022
Mat,463,404,375,445,448,260,378,328,311,344,350,301,299,330,288,287,228,334,308,230,247,268,304,238,236,268,244,251,181,248,398,280,245,225,246,325,287,269,233,265,283,223,189,197,235,232,185,213,221,187,233,205,218,221,250,273,149,224,151,161,152,260,164,181,245,198,218,181,227,190,129,209,226,207,188,143,130,185,161,196,208,137,147,188,213,128,162,199,197,198,265,136
Inns,452,380,365,433,418,251,350,314,300,318,297,294,289,303,273,279,218,308,296,223,244,251,278,237,220,259,236,245,178,240,369,269,223,223,228,288,258,255,218,255,256,217,186,194,223,196,185,208,209,167,218,203,216,214,232,252,146,217,144,155,142,228,161,177,220,197,188,169,206,169,129,208,194,196,175,136,128,157,157,179,182,133,143,184,198,127,149,179,181,161,228,133
NO,41,41,39,18,39,39,53,53,23,40,84,17,32,41,40,11,39,54,30,32,19,40,40,28,39,32,20,9,14,16,27,21,44,10,34,58,40,47,41,23,38,14,19,10,17,67,19,16,30,24,36,15,15,18,29,39,8,30,14,15,23,28,25,16,51,15,48,33,43,27,6,4,35,26,31,20,6,44,14,36,51,3,11,14,23,13,31,40,37,33,57,3
Runs,18426,14234,13704,13430,12650,12311,11739,11579,11363,10889,10773,10480,10405,10290,9720,9619,9577,9378,9284,9283,8824,8778,8701,8648,8607,8529,8500,8273,8113,8094,8064,8037,7981,7826,7701,7569,7534,7456,7381,7249,7170,7090,7041,6989,6951,6912,6798,6786,6755,6721,6697,6684,6614,6571,6564,6524,6284,6248,6173,6133,6109,6083,6068,5964,5935,5841,5835,5804,5761,5757,5658,5658,5615,5606,5565,5507,5492,5442,5416,5359,5346,5313,5238,5185,5162,5134,5122,5117,5092,5088,5080,5047
HS,200*,169,164,189,144,183,137*,139,183,153,183*,215,169,161*,141*,172,176,153*,145,264,194,150,150,152*,181*,132*,173,219,159,175,124,134*,130,158,148,120*,143,131*,119*,144,102,145*,237*,141,174*,108*,188*,145,134*,189*,144,145*,140*,142*,139*,127*,143,122,148,181*,133*,166,145,122,121,119*,139*,120*,113*,185*,178,178*,116*,133*,112,185,179,109*,141,119,144*,153*,150*,131*,119*,133*,96*,150*,120*,156,112,177
Ave,44.83,41.98,42.03,32.36,33.37,58.07,39.52,44.36,41.02,39.16,50.57,37.83,40.48,39.27,41.71,35.89,53.50,36.92,34.90,48.60,39.21,41.60,36.55,41.37,47.55,37.57,39.35,35.05,49.46,36.13,23.57,32.40,44.58,36.74,39.69,32.90,34.55,35.84,41.70,31.24,32.88,34.92,42.16,37.98,33.74,53.58,40.95,35.34,37.73,47.00,36.79,35.55,32.90,33.52,32.33,30.62,45.53,33.41,47.48,43.80,51.33,30.41,44.61,37.04,35.11,32.09,41.67,42.67,35.34,40.54,46.00,27.73,35.31,32.97,38.64,47.47,45.01,48.15,37.87,37.47,40.80,40.86,39.68,30.50,29.49,45.03,43.40,36.81,35.36,39.75,29.70,38.82
BF,21368,18048,17046,14725,16020,13249,15812,15885,15416,15285,12303,12019,13086,11933,12942,9922,9473,12669,11443,10428,10938,12408,9924,13707,10330,12594,11053,7929,9178,9721,6892,11242,10104,9963,8439,9971,9199,9571,11014,9628,9383,9760,8036,8648,9155,9320,9436,9097,8212,7451,8481,8721,8633,9723,8174,9134,6730,9801,7551,7767,7034,6312,8362,9157,7336,9226,7004,7663,7517,6365,5895,7728,6005,7463,7277,6215,5764,6243,7019,7678,6877,6013,6144,7834,8521,7908,6945,6052,6614,5504,6252,5840
SR,86.23,78.86,80.39,91.20,78.96,92.92,74.24,72.89,73.70,71.23,87.56,87.19,79.51,86.23,75.10,96.94,101.09,74.02,81.13,89.01,80.67,70.74,87.67,63.09,83.32,67.72,76.90,104.33,88.39,83.26,117.00,71.49,78.98,78.55,91.25,75.91,81.90,77.90,67.01,75.29,76.41,72.64,87.61,80.81,75.92,74.16,72.04,74.59,82.25,90.20,78.96,76.64,76.61,67.58,80.30,71.42,93.37,63.74,81.75,78.96,86.84,96.37,72.56,65.13,80.90,63.31,83.30,75.74,76.63,90.44,95.97,73.21,93.50,75.11,76.47,88.60,95.28,87.16,77.16,69.79,77.73,88.35,85.25,66.18,60.57,64.92,73.75,84.55,76.98,92.44,81.25,86.42
