Headings,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Player,SR Tendulkar (INDIA),RT Ponting (AUS),JH Kallis (ICC/SA),R Dravid (ICC/INDIA),AN Cook (ENG),KC Sangakkara (SL),BC Lara (ICC/WI),S Chanderpaul (WI),DPMD Jayawardene (SL),AR Border (AUS),SR Waugh (AUS),JE Root (ENG),SM Gavaskar (INDIA),Younis Khan (PAK),HM Amla (SA),GC Smith (ICC/SA),GA Gooch (ENG),Javed Miandad (PAK),Inzamam-ul-Haq (ICC/PAK),VVS Laxman (INDIA),AB de Villiers (SA),MJ Clarke (AUS),ML Hayden (AUS),V Sehwag (ICC/INDIA),IVA Richards (WI),AJ Stewart (ENG),DI Gower (ENG),KP Pietersen (ENG),G Boycott (ENG),V Kohli (INDIA),GS Sobers (WI),ME Waugh (AUS),SPD Smith (AUS),DA Warner (AUS),MA Atherton (ENG),IR Bell (ENG),JL Langer (AUS),LRPL Taylor (NZ),MC Cowdrey (ENG),CG Greenidge (WI),Mohammad Yousuf (PAK),MA Taylor (AUS),CH Lloyd (WI),DL Haynes (WI),DC Boon (AUS),KS Williamson (NZ),G Kirsten (SA),WR Hammond (ENG),CH Gayle (WI),SC Ganguly (INDIA),SP Fleming (NZ),GS Chappell (AUS),AJ Strauss (ENG),Azhar Ali (PAK),DG Bradman (AUS),ST Jayasuriya (SL),L Hutton (ENG),DB Vengsarkar (INDIA),KF Barrington (ENG),AD Mathews (SL),GP Thorpe (ENG),CA Pujara (INDIA),BB McCullum (NZ),PA de Silva (SL),MEK Hussey (AUS),RB Kanhai (WI),M Azharuddin (INDIA),HH Gibbs (SA),RN Harvey (AUS),GR Viswanath (INDIA),RB Richardson (WI),RR Sarwan (WI),ME Trescothick (ENG),DCS Compton (ENG),FDM Karunaratne (SL),Saleem Malik (PAK),N Hussain (ENG),CL Hooper (WI),MP Vaughan (ENG),AC Gilchrist (AUS),MV Boucher (ICC/SA),MS Atapattu (SL),TM Dilshan (SL),TT Samaraweera (SL),MD Crowe (NZ),JB Hobbs (ENG),KD Walters (AUS),IM Chappell (AUS),JG Wright (NZ),MJ Slater (AUS),N Kapil Dev (INDIA),BA Stokes (ENG),Mushfiqur Rahim (BAN),WM Lawry (AUS),Misbah-ul-Haq (PAK),IT Botham (ENG),JH Edrich (ENG),A Ranatunga (SL),Zaheer Abbas (PAK),Tamim Iqbal (BAN)
Span,1989-2013,1995-2012,1995-2013,1996-2012,2006-2018,2000-2015,1990-2006,1994-2015,1997-2014,1978-1994,1985-2004,2012-2022,1971-1987,2000-2017,2004-2019,2002-2014,1975-1995,1976-1993,1992-2007,1996-2012,2004-2018,2004-2015,1994-2009,2001-2013,1974-1991,1990-2003,1978-1992,2005-2014,1964-1982,2011-2022,1954-1974,1991-2002,2010-2022,2011-2022,1989-2001,2004-2015,1993-2007,2007-2022,1954-1975,1974-1991,1998-2010,1989-1999,1966-1985,1978-1994,1984-1996,2010-2022,1993-2004,1927-1947,2000-2014,1996-2008,1994-2008,1970-1984,2004-2012,2010-2022,1928-1948,1991-2007,1937-1955,1976-1992,1955-1968,2009-2022,1993-2005,2010-2022,2004-2016,1984-2002,2005-2013,1957-1974,1984-2000,1996-2008,1948-1963,1969-1983,1983-1995,2000-2011,2000-2006,1937-1957,2012-2022,1982-1999,1990-2004,1987-2002,1999-2008,1999-2008,1997-2012,1990-2007,1999-2013,2001-2013,1982-1995,1908-1930,1965-1981,1964-1980,1978-1993,1993-2001,1978-1994,2013-2022,2005-2022,1961-1971,2001-2017,1977-1992,1963-1976,1982-2000,1969-1985,2008-2022
Mat,200,168,166,164,161,134,131,164,149,156,168,119,125,118,124,117,118,124,120,134,114,115,103,104,121,133,117,104,108,101,93,128,85,94,115,118,105,112,114,108,90,104,110,116,107,87,101,85,103,113,111,87,100,94,52,110,79,116,82,96,100,95,101,93,79,79,99,90,79,91,86,87,76,78,78,103,96,102,82,96,147,90,87,81,77,61,74,75,82,74,131,81,82,67,75,102,77,93,78,68*
Inns,329,287,280,286,291,233,232,280,252,265,260,220,214,213,215,205,215,189,200,225,191,198,184,180,182,235,204,181,193,171,160,209,151,172,212,205,182,196,188,185,156,186,175,202,190,152,176,140,182,188,189,151,178,174,80,188,138,185,131,172,179,162,176,159,137,137,147,154,137,155,146,154,143,131,151,154,171,173,147,137,206,156,145,132,131,102,125,136,148,131,184,150,151,123,132,161,127,155,124,129
NO,33,29,40,32,16,17,6,49,15,44,46,16,16,19,16,13,6,21,22,34,18,22,14,6,12,21,18,8,23,10,21,17,17,7,7,24,12,24,15,16,12,13,14,25,20,14,15,16,11,17,10,19,6,11,10,14,15,22,15,24,28,9,9,11,16,6,9,7,10,10,12,8,10,15,6,22,16,15,9,20,24,15,11,20,11,7,14,10,7,7,15,6,13,12,20,6,9,12,11,2
Runs,15921,13378,13289,13288,12472,12400,11953,11867,11814,11174,10927,10194,10122,10099,9282,9265,8900,8832,8830,8781,8765,8643,8625,8586,8540,8463,8231,8181,8114,8043,8032,8029,8010,7753,7728,7727,7696,7683,7624,7558,7530,7525,7515,7487,7422,7289,7289,7249,7214,7212,7172,7110,7037,7021,6996,6973,6971,6868,6806,6776,6744,6713,6453,6361,6235,6227,6215,6167,6149,6080,5949,5842,5825,5807,5768,5768,5764,5762,5719,5570,5515,5502,5492,5462,5444,5410,5357,5345,5334,5312,5248,5237,5235,5234,5222,5200,5138,5105,5062,5010
HS,248*,257,224,270,294,319,400*,203*,374,205,200,254,236*,313,311*,277,333,280*,329,281,278*,329*,380,319,291,190,215,227,246*,254*,365*,153*,239,335*,185*,235,250,290,182,226,223,334*,242*,184,200,251,275,336*,333,239,274*,247*,177,302*,334,340,364,166,256,200*,200*,206*,302,267,195,256,199,228,205,222,194,291,219,278,244,237,207,233,197,204*,125,249,193,231,299,211,250,196,185,219,163,258,219*,210,161*,208,310*,135*,274,206
Ave,53.78,51.85,55.37,52.31,45.35,57.40,52.88,51.37,49.84,50.56,51.06,49.97,51.12,52.05,46.64,48.25,42.58,52.57,49.60,45.97,50.66,49.10,50.73,49.34,50.23,39.54,44.25,47.28,47.72,49.95,57.78,41.81,59.77,46.98,37.69,42.69,45.27,44.66,44.06,44.72,52.29,43.49,46.67,42.29,43.65,52.81,45.27,58.45,42.18,42.17,40.06,53.86,40.91,43.07,99.94,40.07,56.67,42.13,58.67,45.78,44.66,43.87,38.64,42.97,51.52,47.53,45.03,41.95,48.41,41.93,44.39,40.01,43.79,50.06,39.77,43.69,37.18,36.46,41.44,47.60,30.30,39.02,40.98,48.76,45.36,56.94,48.26,42.42,37.82,42.83,31.05,36.36,37.93,47.15,46.62,33.54,43.54,35.69,44.79,39.44
100,51,41,45,36,33,38,34,30,34,27,32,27,34,34,28,27,20,23,25,17,22,28,30,23,24,15,18,23,22,27,26,20,27,24,16,22,23,19,22,19,24,19,19,18,21,24,21,22,15,16,9,24,21,19,29,14,19,17,20,13,16,18,12,20,19,15,22,14,21,14,16,15,14,17,14,15,14,13,18,17,5,16,16,14,17,15,15,14,12,14,8,11,9,13,10,14,12,4,12,10
50,68,62,58,63,57,52,48,66,50,63,50,53,45,33,41,38,46,43,46,56,46,27,29,32,45,45,39,35,42,28,30,47,36,34,46,46,30,35,38,34,33,40,39,39,32,33,34,24,37,35,46,31,27,35,13,31,33,35,35,37,39,32,31,22,29,28,21,26,24,35,27,31,29,28,29,29,33,27,18,26,35,17,23,30,18,28,33,26,23,21,27,28,25,27,39,22,24,38,20,31
