Headings,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
Player,M Muralidaran (ICC/SL),SK Warne (AUS),JM Anderson (ENG),A Kumble (INDIA),GD McGrath (AUS),SCJ Broad (ENG),CA Walsh (WI),R Ashwin (INDIA),DW Steyn (SA),N Kapil Dev (INDIA),HMRKB Herath (SL),Sir RJ Hadlee (NZ),NM Lyon (AUS),SM Pollock (SA),Harbhajan Singh (INDIA),Wasim Akram (PAK),CEL Ambrose (WI),M Ntini (SA),IT Botham (ENG),MD Marshall (WI),Waqar Younis (PAK),Imran Khan (PAK),DL Vettori (ICC/NZ),DK Lillee (AUS),WPUJC Vaas (SL),TG Southee (NZ),AA Donald (SA),RGD Willis (ENG),TA Boult (NZ),MG Johnson (AUS),I Sharma (INDIA),Z Khan (INDIA),B Lee (AUS),M Morkel (SA),LR Gibbs (WI),FS Trueman (ENG),DL Underwood (ENG),JH Kallis (ICC/SA),CJ McDermott (AUS),MA Starc (AUS),BS Bedi (INDIA),Danish Kaneria (PAK),J Garner (WI),JN Gillespie (AUS),GP Swann (ENG),JB Statham (ENG),MA Holding (WI),R Benaud (AUS),MJ Hoggard (ENG),GD McKenzie (AUS),N Wagner (NZ),KAJ Roach (WI),K Rabada (SA),RA Jadeja (INDIA),BS Chandrasekhar (INDIA),AV Bedser (ENG),J Srinath (INDIA),Abdul Qadir (PAK),Yasir Shah (PAK),GS Sobers (WI),AR Caddick (ENG),CS Martin (NZ),D Gough (ENG),RR Lindwall (AUS),SJ Harmison (ENG/ICC),A Flintoff (ENG/ICC),VD Philander (SA),Shakib Al Hasan (BAN),PM Siddle (AUS),CL Cairns (NZ),CV Grimmett (AUS),HH Streak (ZIM),JR Hazlewood (AUS),Mohammed Shami (INDIA),MG Hughes (AUS),SCG MacGill (AUS),Saqlain Mushtaq (PAK),AME Roberts (WI),JA Snow (ENG),JR Thomson (AUS)
Span,1992-2010,1992-2007,2003-2022,1990-2008,1993-2007,2007-2022,1984-2001,2011-2022,2004-2019,1978-1994,1999-2018,1973-1990,2011-2022,1995-2008,1998-2015,1985-2002,1988-2000,1998-2009,1977-1992,1978-1991,1989-2003,1971-1992,1997-2014,1971-1984,1994-2009,2008-2022,1992-2002,1971-1984,2011-2022,2007-2015,2007-2021,2000-2014,1999-2008,2006-2018,1958-1976,1952-1965,1966-1982,1995-2013,1984-1996,2011-2022,1966-1979,2000-2010,1977-1987,1996-2006,2008-2013,1951-1965,1975-1987,1952-1964,2000-2008,1961-1971,2012-2022,2009-2022,2015-2022,2012-2022,1964-1979,1946-1955,1991-2002,1977-1990,2014-2021,1954-1974,1993-2003,2000-2013,1994-2003,1946-1960,2002-2009,1998-2009,2011-2020,2007-2022,2008-2019,1989-2004,1925-1936,1993-2005,2014-2022,2013-2022,1985-1994,1998-2008,1995-2004,1974-1983,1965-1976,1972-1985
Mat,133,145,171,132,124,154,132,86,93,131,93,86,108,108,103,104,98,101,102,81,87,88,113,70,111,87,72,90,77,73,105,92,76,86,79,67,86,166,71,69,67,61,58,71,60,70,60,63,67,60,58,72*,52,59,58,51,67,67,46,93,62,71,58,61,63,79,64,62*,67,62,37,65,57,59,53,44,49,47,49,51
Inns,230,273,318,236,243,284,242,162,171,227,170,150,204,202,190,181,179,190,168,151,154,142,187,132,194,164,129,165,147,140,188,165,150,160,148,127,151,272,124,133,118,112,111,137,109,129,113,116,122,113,110,129,95,112,97,92,121,111,85,159,105,126,95,113,115,137,119,104,126,104,67,102,107,112,97,85,86,90,93,90
Balls,44039,40705,36832,40850,29248,31085,30019,23089,18608,27740,25993,21918,27983,24353,28580,22627,22103,20834,21815,17584,16224,19458,28814,18467,23438,19837,15519,17357,17213,16001,19160,18785,16531,16498,27115,15178,21862,20232,16586,14104,21364,17697,13169,14234,15349,16056,12680,19108,13909,17681,12845,12964,9908,14627,15963,15918,15104,17126,13697,21599,13558,14026,11821,13650,13375,14951,11391,14166,13907,11698,14513,13559,12235,10605,12285,11237,14070,11135,12021,10535
Runs,18180,17995,17219,18355,12186,15230,12688,10666,10077,12867,12157,9611,13732,9733,13537,9779,8501,11242,10878,7876,8788,8258,12441,8493,10501,9893,7344,8190,8548,8891,10078,10247,9554,8550,8989,6625,7674,9535,8332,7786,7637,9082,5433,6770,7642,6261,5898,6704,7564,7328,6464,6599,5446,5915,7199,5876,7196,7742,7306,7999,6999,7878,6503,5251,7192,7410,5000,6952,6777,6410,5231,6079,5573,5789,6017,6038,6206,5174,5387,5601
Wkts,800,708,651,619,563,546,519,442,439,434,433,431,427,421,417,414,405,390,383,376,373,362,362,355,355,343,330,325,313,313,311,311,310,309,309,307,297,292,291,282,266,261,259,259,255,252,249,248,248,246,244,244,243,242,242,236,236,236,235,235,234,233,229,228,226,226,224,224,221,218,216,216,215,214,212,208,208,202,202,200
BBI,9/51,8/71,7/42,10/74,8/24,8/15,7/37,7/59,7/51,9/83,9/127,9/52,8/50,7/87,8/84,7/119,8/45,7/37,8/34,7/22,7/76,8/58,7/87,7/83,7/71,7/64,8/71,8/43,6/30,8/61,7/74,7/87,5/30,6/23,8/38,8/31,8/51,6/54,8/97,6/50,7/98,7/77,6/56,7/37,6/65,7/39,8/92,7/72,7/61,8/71,7/39,6/48,7/112,7/48,8/79,7/44,8/86,9/56,8/41,6/73,7/46,6/26,6/42,7/38,7/12,5/58,6/21,7/36,6/54,7/27,7/40,6/73,6/67,6/56,8/87,8/108,8/164,7/54,7/40,6/46
BBM,16/220,12/128,11/71,14/149,10/27,11/121,13/55,13/140,11/60,11/146,14/184,15/123,13/154,10/147,15/217,11/110,11/84,13/132,13/106,11/89,13/135,14/116,12/149,11/123,14/191,10/108,12/139,9/92,10/80,12/127,10/108,10/149,9/171,9/110,11/157,12/119,13/71,9/92,11/157,11/94,10/194,12/94,9/108,9/80,10/132,11/97,14/149,11/105,12/205,10/91,9/73,10/146,13/144,10/154,12/104,14/99,13/132,13/101,14/184,8/80,10/215,11/180,9/92,9/70,11/76,8/156,10/102,10/124,9/104,10/100,14/199,9/72,9/115,9/118,13/217,12/107,10/155,12/121,10/142,9/105
Ave,22.72,25.41,26.45,29.65,21.64,27.89,24.44,24.13,22.95,29.64,28.07,22.29,32.15,23.11,32.46,23.62,20.99,28.82,28.40,20.94,23.56,22.81,34.36,23.92,29.58,28.84,22.25,25.20,27.30,28.40,32.40,32.94,30.81,27.66,29.09,21.57,25.83,32.65,28.63,27.60,28.71,34.79,20.97,26.13,29.96,24.84,23.68,27.03,30.50,29.78,26.49,27.04,22.41,24.44,29.74,24.89,30.49,32.80,31.08,34.03,29.91,33.81,28.39,23.03,31.82,32.78,22.32,31.03,30.66,29.40,24.21,28.14,25.92,27.05,28.38,29.02,29.83,25.61,26.66,28.00
